Entry,Majority protein IDs,Unique peptides R1,Unique peptides R2,Unique peptides R3,Ratio H/L normalized R1,Ratio H/L normalized R2,Ratio H/L normalized R3,Log2FC,Pvalue,FDR
Q9BR77,sp|Q9BR77|CCD77_HUMAN,2,2,0,,,,,,
Q9BRD0,sp|Q9BRD0|BUD13_HUMAN,13,17,16,1.8601,1.9004,1.6278,0.844867676074509,0.0007222253093049164,0.007280704509572382
Q9BRR8,sp|Q9BRR8|GPTC1_HUMAN,19,18,15,0.85798,0.74279,0.4491,-0.5494300818695986,0.05993140376267159,0.11843586934051767
Q9BRS2,sp|Q9BRS2|RIOK1_HUMAN,3,6,2,1.2566,1.1154,0.87759,0.11529520441063866,0.49371726928993775,0.580227020900033
Q9BRT6,sp|Q9BRT6|LLPH_HUMAN,2,0,2,0.33664,,1.5732,,,
Q9BRU9,sp|Q9BRU9|UTP23_HUMAN,1,1,1,,,,,,
Q9BSC4,sp|Q9BSC4|NOL10_HUMAN,17,17,18,1.3731,1.3499,1.5122,0.4974675992247929,0.0012483064168808066,0.009009515878357126
Q9BSD7,sp|Q9BSD7|NTPCR_HUMAN,0,1,1,,,,,,
Q9BSJ2,sp|Q9BSJ2|GCP2_HUMAN,1,0,1,,,,,,
Q9BSJ8,sp|Q9BSJ8|ESYT1_HUMAN,1,0,1,,,,,,
Q9BTC0,sp|Q9BTC0|DIDO1_HUMAN,2,1,2,,,0.53957,,,
Q9BTD8,sp|Q9BTD8|RBM42_HUMAN,0,1,0,,,,,,
Q9BTE3,sp|Q9BTE3|MCMBP_HUMAN,3,3,1,0.89627,1.1739,,,,
Q9BTE7,sp|Q9BTE7|DCNL5_HUMAN,3,2,1,1.9125,1.6062,,,,
Q9BU23,sp|Q9BU23|LMF2_HUMAN,0,1,0,,,,,,
Q9BU76,sp|Q9BU76|MMTA2_HUMAN,12,14,14,1.5775,1.5547,1.5551,0.6437946334731032,1.9297473594414063e-07,6.406761233345469e-05
Q9BUA3,sp|Q9BUA3|SPNDC_HUMAN,1,0,0,,,,,,
Q9BUF5,sp|Q9BUF5|TBB6_HUMAN,0,0,1,,,,,,
Q9BUJ2,sp|Q9BUJ2|HNRL1_HUMAN,19,17,16,0.92671,0.76117,0.56848,-0.41096523405713803,0.07478350565568204,0.13679407095144042
Q9BUL5,sp|Q9BUL5|PHF23_HUMAN,3,1,0,,,,,,
Q9BUN8,sp|Q9BUN8|DERL1_HUMAN,1,1,1,,,,,,
Q9BUQ8,sp|Q9BUQ8|DDX23_HUMAN,0,0,1,,,,,,
Q9BV38,sp|Q9BV38|WDR18_HUMAN,3,3,4,1.532,1.3873,1.9139,0.6880161946524185,0.01768548855034427,0.04997091232948338
Q9BVI4,sp|Q9BVI4|NOC4L_HUMAN,4,3,2,0.94871,0.91512,0.85341,-0.14282050361240808,0.02785240093347048,0.06849627488823852
Q9BVJ6,sp|Q9BVJ6|UT14A_HUMAN,37,39,43,0.82695,0.71558,0.71359,-0.41111869592739103,0.0027009699886234796,0.015463741302964898
Q9BVK2,sp|Q9BVK2|ALG8_HUMAN,2,3,2,,0.51992,,,,
Q9BVK8,sp|Q9BVK8|TM147_HUMAN,0,1,0,,,,,,
Q9BVP2,sp|Q9BVP2|GNL3_HUMAN,16,18,17,0.9915,0.82649,0.94104,-0.12080135696367043,0.1752349943045236,0.2614742386925925
Q9BW19,sp|Q9BW19|KIFC1_HUMAN,0,1,0,,,,,,
Q9BW27,sp|Q9BW27|NUP85_HUMAN,3,4,3,0.78507,0.84021,1.0545,-0.16284793508923875,0.26378934497112605,0.3596635011515969
Q9BW60,sp|Q9BW60|ELOV1_HUMAN,1,1,1,,,,,,
Q9BWF2,sp|Q9BWF2|TRAIP_HUMAN,4,2,1,1.3542,,,,,
Q9BWG6,sp|Q9BWG6|SCNM1_HUMAN,6,7,6,1.2205,0.91714,0.437,-0.22059177969659943,0.567859712973428,0.6512242649643457
Q9BWT3,sp|Q9BWT3|PAPOG_HUMAN,2,2,0,0.93879,1.0553,,,,
Q9BWU0,sp|Q9BWU0|NADAP_HUMAN,0,0,1,,,,,,
Q9BXJ9,sp|Q9BXJ9|NAA15_HUMAN,2,1,3,1.7775,,0.81105,,,
Q9BXS6,sp|Q9BXS6|NUSAP_HUMAN,2,0,1,1.5459,,,,,
